Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),condition,suitable,meal_type,food_group,diet_preference,portion_basis
Cauliflower canjee (Phoolgobhi ki canjee),6.9,0.35,0.39,0.42,0.09,0.49,41.45,6.26,0.22,7.86,9.26,Endurance,0,lunch,fat,veg,per_100g
Potato canjee (Aloo canjee),16.26,2.69,0.44,0.39,0.1,0.43,35.99,5.21,0.22,7.72,6.77,Endurance,0,lunch,cereal,veg,per_100g
Vermicelli porridge (Semiya/Seviyan porridge),78.4,10.56,2.5,2.98,7.04,0.48,65.33,72.96,0.2,4.82,19.51,Endurance,0,lunch,cereal,veg,per_100g
Semolina upma (Suji/Rava upma),147.89,16.31,3.3,7.49,1.31,3.24,101.59,21.57,1.1,4.64,15.13,Endurance,0,snack,cereal,veg,per_100g
Vermicelli upma (Semiya/Seviyan upma),149.11,16.88,3.11,7.45,1.4,3.21,101.8,20.3,0.93,4.64,12.64,Endurance,0,snack,cereal,veg,per_100g
Rice upma,151.27,17.96,2.63,7.46,1.13,2.12,101.75,17.57,0.67,4.64,11.94,Endurance,0,breakfast,cereal,veg,per_100g
Bread upma,129.51,12.6,2.8,7.75,1.56,1.96,176.44,45.22,0.82,4.64,15.79,Endurance,0,breakfast,cereal,veg,per_100g
Vegetable upma,146.47,16.46,4.73,6.63,1.39,4.19,347.02,26.68,1.35,14.42,50.48,Endurance,0,snack,cereal,veg,per_100g
Poha,294.53,35.05,6.09,14.14,0.87,3.72,377.1,37.67,3.01,6.62,11.96,Endurance,1,breakfast,cereal,veg,per_100g
Vegetable poha,180.52,21.52,4.89,8.07,1.4,3.76,418.02,28.01,1.92,7.21,21.79,Endurance,0,snack,cereal,veg,per_100g
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),154.89,19.42,6.97,5.11,1.11,4.25,267.23,39.34,2.22,34.81,79.95,Endurance,0,snack,cereal,veg,per_100g
Paneer stuffed cheela/chilla,205.19,19.16,11.44,8.89,3.81,4.03,289.1,151.3,2.41,19.76,116.52,Endurance,0,lunch,protein,veg,per_100g
Indian style egg bhujia (Anda bhujia (Indian style)),102.83,3.76,6.1,7.02,1.95,1.53,218.05,31.9,1.14,13.56,40.85,Endurance,0,snack,fat,egg,per_100g
French omelette/omlet,211.04,0.41,10.03,18.86,0.1,0.38,381.85,46.35,1.58,0.48,25.79,Endurance,0,lunch,fat,veg,per_100g
Puffy omelette/omlet,188.15,0.08,8.82,16.84,0.08,0.0,340.53,34.96,1.2,0.0,24.66,Endurance,0,snack,fat,veg,per_100g
Orange omelette/omlet,194.66,1.68,8.93,16.84,1.68,0.0,340.92,37.33,1.26,7.2,28.86,Endurance,0,snack,fruit,veg,per_100g
Cheese and mushroom omelette/omlet,205.63,1.68,9.69,17.82,1.07,0.93,400.29,148.77,1.01,0.48,32.02,Endurance,0,lunch,dairy,veg,per_100g
Spanish omelette/omlet,157.45,5.1,8.25,11.44,1.03,2.54,233.87,31.72,1.28,28.63,61.18,Endurance,0,snack,fat,veg,per_100g
Mixed stock,25.19,0.33,2.06,1.71,0.2,0.15,9.51,2.06,0.07,2.58,16.58,Endurance,0,lunch,protein,veg,per_100g
Meat stock,24.48,0.0,2.1,1.78,0.0,0.0,8.62,0.86,0.05,0.0,6.0,Endurance,0,lunch,protein,non_veg,per_100g
White stock,6.99,0.4,0.07,0.56,0.24,0.17,1.56,1.58,0.03,2.58,10.58,Endurance,0,lunch,fat,veg,per_100g
Meat consomme (with mutton),29.76,0.51,14.86,13.68,0.24,0.71,12665.52,115.88,4.22,2.44,15.49,Endurance,0,snack,protein,non_veg,per_100g
Consomme au julienne,27.76,1.49,12.49,10.66,0.83,1.38,10208.47,85.89,3.34,11.77,55.26,Endurance,0,snack,protein,veg,per_100g
Consomme au vermicelli,29.94,1.3,15.23,12.98,0.27,0.81,12524.61,97.34,3.98,2.44,20.12,Endurance,0,snack,protein,veg,per_100g
Green pea soup (Matar ka soup),39.81,3.63,11.06,12.9,0.87,2.49,10958.11,46.63,2.18,41.12,65.46,Endurance,0,snack,fat,veg,per_100g
Spinach soup (Palak ka soup),32.59,3.03,10.54,14.26,0.29,1.98,12088.21,56.23,2.68,30.99,150.94,Endurance,0,snack,vegetable,veg,per_100g
Mixed vegetable soup,35.71,2.95,8.22,11.66,1.64,1.64,9202.27,50.69,1.74,20.06,31.61,Endurance,0,snack,vegetable,veg,per_100g
Cheese soup,41.13,1.87,12.39,17.07,0.84,1.8,13695.35,83.65,2.4,5.29,20.27,Endurance,0,snack,dairy,veg,per_100g
Mulligatawny soup,54.42,8.24,11.26,13.28,1.26,2.6,11602.5,43.89,2.65,8.37,27.88,Endurance,0,snack,fat,veg,per_100g
Cream of carrot soup,59.77,5.69,8.27,12.35,1.77,1.98,8694.79,57.24,1.73,10.68,37.89,Endurance,0,snack,vegetable,veg,per_100g
Cream of broccoli soup,56.14,3.72,8.97,12.75,1.59,1.89,8792.43,66.55,1.82,68.91,94.43,Endurance,0,snack,fat,veg,per_100g
Cream of potato soup,60.2,6.14,8.1,12.05,1.24,1.51,8503.99,51.97,1.7,28.86,33.19,Endurance,0,snack,fat,veg,per_100g
Almond soup (Badam ka soup),78.65,3.68,10.13,13.8,1.94,0.91,8376.94,114.95,2.83,7.68,38.67,Endurance,0,snack,fat,veg,per_100g
Cold cucumber cream soup ,11.88,1.76,0.34,0.34,0.51,0.73,207.89,8.02,0.16,14.72,24.84,Endurance,0,lunch,cereal,veg,per_100g
Cold tomato soup,16.9,0.59,0.11,1.56,0.22,0.16,287.15,4.2,0.1,10.09,5.63,Endurance,0,lunch,fat,veg,per_100g
Chicken stew,127.55,4.44,7.19,8.91,1.43,1.82,79.62,31.53,0.9,20.89,36.31,Endurance,0,snack,fat,non_veg,per_100g
Veg paneer stew,145.55,10.22,6.98,8.41,4.85,3.08,73.15,160.51,1.37,32.41,102.72,Endurance,0,snack,cereal,veg,per_100g
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),191.27,26.37,4.37,7.27,2.71,5.16,241.19,24.91,1.81,3.05,16.17,Endurance,0,snack,cereal,veg,per_100g
Methi parantha/paratha,148.36,22.19,4.27,4.34,2.44,5.09,48.36,65.85,2.42,12.63,28.46,Endurance,0,snack,cereal,veg,per_100g
Bathua poori,598.79,13.85,2.35,59.14,0.41,1.87,49.71,30.83,0.96,4.56,8.77,Endurance,0,dinner,fat,veg,per_100g
Gram flour poori (Besan poori),697.66,10.93,2.59,71.51,0.35,1.94,58.33,7.09,0.71,0.0,11.18,Endurance,0,dinner,fat,veg,per_100g
Beetroot poori (Chukandar ki poori),527.66,12.29,1.91,52.18,0.54,1.4,46.48,5.38,0.6,0.29,9.45,Endurance,0,dinner,fat,veg,per_100g
Peas poori (Matar ki poori),592.83,14.92,3.04,57.69,0.48,2.25,47.77,8.96,0.84,4.61,10.21,Endurance,0,dinner,fat,veg,per_100g
Peas kachori (Matar kachori),584.68,13.25,3.21,57.51,0.5,2.03,55.45,14.25,0.77,10.11,16.43,Endurance,0,dinner,fat,veg,per_100g
Pizza,146.77,9.94,6.85,8.72,1.38,1.71,225.02,77.23,0.66,42.9,87.58,Endurance,0,snack,cereal,veg,per_100g
Bacon and mushroom pancake,157.67,8.47,6.82,10.6,1.23,1.59,344.23,44.74,0.54,1.91,14.58,Endurance,0,snack,fat,veg,per_100g
Cheese and tomato pancake,147.39,10.66,5.15,9.28,3.48,1.06,281.62,127.51,0.64,9.72,16.52,Endurance,0,snack,dairy,veg,per_100g
Minced meat pancake (with chicken),116.04,8.18,12.01,10.48,1.29,0.7,4942.18,64.72,1.99,2.14,12.77,Endurance,0,snack,protein,non_veg,per_100g
Eggplant/Brinjal rice (Vangi bhat),184.8,31.74,5.28,3.67,4.36,4.44,59.06,36.02,1.91,3.23,77.11,Endurance,1,snack,cereal,egg,per_100g
Kashmiri 'tahar',98.21,19.11,1.95,1.37,0.17,0.98,61.29,3.93,0.32,0.02,7.94,Endurance,0,lunch,cereal,veg,per_100g
Cumin pulao (Jeera/Zeera pulao),135.24,23.61,2.47,3.2,0.64,1.4,219.73,7.25,0.33,1.42,13.85,Endurance,0,lunch,cereal,veg,per_100g
Peas pulao (Matar pulao),108.87,18.42,3.89,1.9,1.3,3.21,86.18,18.18,0.78,62.36,110.56,Endurance,0,snack,cereal,veg,per_100g
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),116.53,19.72,3.6,2.3,1.59,3.16,98.07,19.09,0.82,27.07,104.21,Endurance,0,snack,vegetable,veg,per_100g
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),125.51,21.55,3.44,2.58,1.99,2.69,103.09,16.51,0.77,8.11,88.34,Endurance,0,snack,cereal,veg,per_100g
Mutton pulao,130.77,11.26,6.52,10.78,1.0,1.65,3115.59,49.87,1.25,4.47,39.34,Endurance,0,snack,cereal,non_veg,per_100g
Chicken pulao,108.24,11.17,6.07,8.48,0.99,1.64,3093.47,32.25,0.98,4.47,38.7,Endurance,0,snack,cereal,non_veg,per_100g
Mexican rice,120.57,14.21,4.62,4.88,1.44,1.64,93.42,14.51,0.55,42.71,53.09,Endurance,0,snack,cereal,veg,per_100g
Plain khitchdi (Plain khichri/khichdi),57.03,10.04,1.72,1.01,0.12,0.85,37.14,5.05,0.31,0.83,26.18,Endurance,0,lunch,cereal,veg,per_100g
Instant idli (with semolina),247.29,43.4,9.16,3.61,3.35,7.13,1504.66,93.2,2.31,0.14,9.08,Endurance,1,breakfast,cereal,veg,per_100g
Plain dosa,380.91,64.08,10.34,8.43,0.7,5.23,142.98,19.35,1.5,0.0,9.16,Endurance,1,breakfast,cereal,veg,per_100g
Masala dosa mixed vegetable fillings,144.53,23.02,4.84,3.26,1.53,4.31,122.08,31.79,1.21,52.07,89.33,Endurance,0,snack,cereal,veg,per_100g
Masala dosa paneer fillings,243.12,29.76,10.31,8.84,4.81,3.11,160.4,171.23,1.27,11.5,94.26,Endurance,0,breakfast,protein,veg,per_100g
Uttapam,255.95,36.28,6.18,9.03,1.5,4.4,228.69,40.86,1.23,6.15,19.02,Endurance,1,lunch,cereal,veg,per_100g
Appam,267.7,13.28,3.12,22.63,4.16,6.19,26.59,6.36,0.83,2.57,27.59,Endurance,0,lunch,fat,veg,per_100g
Beans and macaroni,136.08,14.24,4.58,7.01,1.68,2.05,182.79,86.86,0.75,16.54,82.63,Endurance,0,snack,vegetable,veg,per_100g
Spaghetti bolognese,97.43,10.04,9.35,9.51,1.41,1.08,5358.6,73.66,2.06,27.89,37.77,Endurance,0,snack,cereal,veg,per_100g
Meat and macaroni casserole,161.55,16.12,9.15,10.17,1.0,1.19,2511.99,68.28,1.85,29.03,47.45,Endurance,0,snack,cereal,non_veg,per_100g
Spaghetti with meat balls and tomato sauce,158.13,10.46,5.61,10.64,1.87,1.11,189.13,40.82,0.71,44.09,63.03,Endurance,0,snack,fat,non_veg,per_100g
Spaghetti with paneer balls and tomato sauce,158.54,12.72,3.95,10.44,3.03,1.25,199.55,80.73,0.55,44.09,98.36,Endurance,0,snack,cereal,veg,per_100g
Lasagne with meat sauce,63.38,5.38,2.9,3.43,1.04,0.47,37.08,24.61,0.49,80.17,112.65,Endurance,0,lunch,cereal,non_veg,per_100g
Lasagne with vegetables,49.23,5.9,1.71,2.16,1.37,0.66,40.78,32.89,0.57,179.9,286.76,Endurance,0,lunch,vegetable,veg,per_100g
Home made egg noodles,240.84,42.92,6.55,4.37,1.03,1.6,177.24,15.96,1.15,0.0,30.08,Endurance,1,lunch,cereal,egg,per_100g
Sour lentils (Khatti dal),34.79,6.04,2.22,0.12,1.25,1.22,115.6,8.29,0.85,1.88,22.49,Endurance,0,lunch,cereal,veg,per_100g
Urad special dehusked,69.43,8.86,3.14,2.17,1.32,2.5,109.56,16.4,0.83,17.4,54.46,Endurance,0,snack,cereal,veg,per_100g
Arhar with spinach (Arhar dal aur palak),52.84,4.77,2.05,2.76,0.23,1.3,109.97,21.81,0.89,18.79,105.9,Endurance,0,lunch,vegetable,veg,per_100g
Moong dal with vadi,24.08,1.0,0.4,2.05,0.45,0.39,112.36,2.99,0.18,10.19,11.52,Endurance,0,lunch,fat,veg,per_100g
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),26.74,3.37,1.13,0.88,0.83,1.6,104.11,16.56,0.59,17.27,28.68,Endurance,0,lunch,cereal,veg,per_100g
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),24.41,2.85,1.11,0.87,0.44,1.54,102.77,15.56,0.52,19.71,28.91,Endurance,0,lunch,cereal,veg,per_100g
Green gram whole with baghar (Sabut moong dal with tadka),63.43,6.8,3.23,2.48,0.15,3.02,181.69,25.04,1.0,0.48,45.28,Endurance,0,snack,cereal,veg,per_100g
Urad sabut special,79.39,5.03,2.33,5.46,0.86,2.15,60.09,21.45,0.71,28.45,80.51,Endurance,0,lunch,fat,veg,per_100g
Kabuli channa curry,68.57,7.63,2.92,3.06,1.24,1.12,122.05,32.03,0.95,16.22,93.09,Endurance,0,lunch,cereal,veg,per_100g
Besan gatte curry,189.38,16.26,7.75,10.72,4.5,3.25,356.27,151.08,1.89,13.39,135.02,Endurance,0,snack,cereal,veg,per_100g
Dry masala chops,135.07,3.3,9.08,9.54,2.27,0.86,83.47,112.25,1.39,1.87,15.19,Endurance,0,snack,fat,veg,per_100g
Mutton korma,115.64,2.53,7.09,8.54,1.64,0.78,56.94,79.07,1.09,5.54,31.82,Endurance,0,snack,fat,non_veg,per_100g
Shahi keema kofta curry,418.13,1.73,4.14,43.83,0.78,0.91,104.53,14.51,0.67,20.97,34.57,Endurance,0,dinner,fat,veg,per_100g
Minced meat ball curry,109.79,2.86,6.82,7.85,1.27,1.49,170.06,23.84,1.01,20.62,33.86,Endurance,0,snack,fat,non_veg,per_100g
Boti kebab,132.86,3.06,9.22,9.27,2.09,0.76,78.14,98.67,1.41,4.52,6.58,Endurance,0,snack,fat,veg,per_100g
Mutton seekh kebab,133.94,3.11,11.25,8.43,1.4,1.88,102.17,117.44,2.19,3.97,5.3,Endurance,0,snack,protein,non_veg,per_100g
Indian lamb and egg curry (Nargisi kofta),335.75,2.07,3.84,34.7,0.75,0.6,57.44,12.91,0.55,7.67,44.36,Endurance,0,dinner,fat,egg,per_100g
Soya chunks sweet and sour (Nutrinugget sweet and sour),500.94,3.27,2.85,55.99,1.1,0.86,2257.67,13.89,0.7,37.78,40.59,Endurance,0,dinner,fat,veg,per_100g
Soya chunks korma (Nutrinugget korma),131.43,7.67,3.86,9.5,4.66,2.57,148.98,89.7,1.18,11.59,49.69,Endurance,0,snack,fat,veg,per_100g
Mushroom matar,70.77,5.33,2.79,4.11,1.39,3.13,61.63,21.42,0.81,39.15,54.07,Endurance,0,lunch,cereal,veg,per_100g
Soya chunks and peas (Nutrinugget matar),82.62,5.82,3.03,5.11,1.64,2.86,70.97,20.32,0.99,39.15,52.1,Endurance,0,snack,cereal,veg,per_100g
Vegetable yakhni,406.06,1.94,1.18,43.8,1.44,0.61,38.05,43.67,0.24,5.43,60.84,Endurance,0,dinner,vegetable,veg,per_100g
Spinach mushroom (Palak mushroom),47.63,2.95,1.94,2.96,1.0,2.27,70.97,49.75,1.69,60.21,232.9,Endurance,0,lunch,vegetable,veg,per_100g
Vegetarian nargisi kofta curry,332.15,6.58,2.29,32.94,1.65,0.86,73.56,47.09,0.38,27.25,57.94,Endurance,0,dinner,fat,veg,per_100g
Roast chicken,199.9,0.1,20.49,13.06,0.05,0.03,71.71,13.61,0.79,0.3,13.16,Endurance,0,snack,protein,non_veg,per_100g
Shahi chicken masala,163.7,4.07,9.82,12.02,2.86,0.96,142.56,82.68,0.89,9.92,65.41,Endurance,0,snack,protein,non_veg,per_100g
Tomato chicken,111.68,2.13,10.57,6.71,0.93,1.42,104.83,21.24,0.87,24.53,24.19,Endurance,0,snack,protein,non_veg,per_100g
Creamy chicken,152.87,3.13,13.52,9.57,2.11,0.69,97.08,50.37,0.82,7.46,32.64,Endurance,0,snack,protein,non_veg,per_100g
Broccoli chicken ala king,119.56,5.34,7.97,7.57,2.49,1.92,104.01,73.36,0.78,79.81,105.46,Endurance,0,snack,protein,non_veg,per_100g
Ginger chicken,129.17,5.6,8.24,8.24,1.95,1.21,365.86,18.41,0.96,49.96,64.3,Endurance,0,snack,protein,non_veg,per_100g
Chicken sweet and sour,445.09,2.67,6.92,47.59,0.89,0.58,1809.94,21.98,0.93,37.78,50.11,Endurance,0,dinner,fat,non_veg,per_100g
Chicken korma,147.96,5.43,9.83,9.67,3.32,1.82,119.21,68.66,1.06,10.02,58.86,Endurance,0,snack,protein,non_veg,per_100g
Bengal fish curry (Bengali machli curry),109.43,4.42,7.26,7.03,2.39,1.93,76.38,44.44,0.85,9.39,46.45,Endurance,0,snack,protein,non_veg,per_100g
Fish finger,542.9,4.47,5.66,55.82,0.17,0.34,103.55,11.38,0.38,14.13,34.81,Endurance,0,dinner,fat,non_veg,per_100g
Fish in coconut milk (Nariyal ke doodh ke saath machli),86.21,2.73,8.66,4.43,1.55,1.52,73.93,21.94,0.91,10.71,38.0,Endurance,0,snack,protein,non_veg,per_100g
Prawn curry (with coconut) (Jhinga curry),109.55,3.1,8.54,6.93,2.03,1.56,375.86,37.25,0.96,3.72,43.62,Endurance,0,snack,protein,non_veg,per_100g
Baked stuffed fish,121.96,2.12,16.14,5.43,0.35,0.38,74.36,18.8,0.35,13.01,67.06,Endurance,0,snack,protein,non_veg,per_100g
Fish pie,120.9,7.74,9.25,5.77,1.13,0.76,101.8,36.15,0.46,27.02,37.04,Endurance,0,snack,protein,non_veg,per_100g
Crispy baked fish,138.4,9.59,10.95,6.41,1.53,1.21,192.42,60.04,0.55,16.97,46.78,Endurance,0,snack,protein,non_veg,per_100g
Fish souffle,139.71,5.14,10.51,8.55,2.09,0.19,92.45,63.87,0.59,2.41,45.24,Endurance,0,snack,protein,non_veg,per_100g
Potato curry (Aloo ki sabzi),89.56,10.42,1.52,4.47,1.58,2.42,78.4,23.74,0.97,42.18,35.58,Endurance,0,lunch,vegetable,veg,per_100g
Egg curry (Anda curry),117.52,4.03,5.38,8.81,1.9,2.09,142.12,41.59,1.52,19.03,44.73,Endurance,0,snack,fat,egg,per_100g
Vegetable curry with coconut ,83.07,7.19,2.77,4.66,1.41,3.35,43.4,19.63,0.95,69.6,87.67,Endurance,0,lunch,vegetable,veg,per_100g
Curd with potatoes (Dahi aloo),59.9,7.15,1.56,2.72,1.82,1.19,51.99,36.36,0.47,42.93,44.72,Endurance,0,lunch,dairy,veg,per_100g
Potato kofta curry (Aloo kofta curry),455.4,2.78,0.56,49.08,0.63,0.56,30.12,7.77,0.26,46.64,48.57,Endurance,0,dinner,fat,veg,per_100g
Yam kofta curry (Zimikand/Suran kofta curry),322.88,3.75,0.71,33.84,0.63,1.04,42.22,8.35,0.31,36.07,43.47,Endurance,0,dinner,fat,veg,per_100g
Jackfruit kofta curry (Kathal ka kofta curry),321.08,3.17,0.8,33.83,2.4,0.96,40.04,11.36,0.24,27.49,63.24,Endurance,0,dinner,fruit,veg,per_100g
Spinach and potato (Palak aloo),57.17,5.91,1.63,2.82,0.93,2.04,62.46,43.67,1.59,78.73,242.0,Endurance,0,lunch,vegetable,veg,per_100g
Mooli bhujia,91.2,4.74,1.69,7.25,1.07,2.36,89.73,131.88,2.37,80.77,75.87,Endurance,0,lunch,fat,veg,per_100g
Bathua bhujia,90.9,3.63,2.26,7.29,1.08,3.8,81.99,165.84,2.36,66.6,71.68,Endurance,0,lunch,fat,veg,per_100g
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),142.48,6.09,8.21,9.36,1.26,1.84,118.05,31.54,0.98,12.69,19.01,Endurance,0,snack,fat,veg,per_100g
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),124.63,7.03,5.76,8.17,3.81,2.35,123.98,29.82,0.95,26.91,34.04,Endurance,0,snack,fat,veg,per_100g
Dry arbi (Sookhi arbi),134.95,11.11,2.12,8.97,1.55,2.47,81.25,22.77,0.68,8.11,32.76,Endurance,0,lunch,cereal,veg,per_100g
Masala arbi,185.38,16.16,3.01,11.9,0.81,3.1,261.31,32.08,0.99,1.9,20.12,Endurance,0,snack,cereal,veg,per_100g
Peas brinjal bhartha (Matar baingan bhartha),84.55,5.02,2.05,6.05,1.57,3.63,63.65,19.63,0.63,27.86,82.49,Endurance,0,lunch,fat,veg,per_100g
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),110.81,4.5,1.83,9.27,1.42,3.57,92.78,67.88,0.88,29.07,85.27,Endurance,0,lunch,vegetable,veg,per_100g
Crispy okra/Crispy lady's fingers (Karare bhindi),657.76,4.35,1.91,70.4,0.26,1.75,40.42,27.61,0.56,18.14,90.04,Endurance,0,dinner,fat,veg,per_100g
Beans foogath,105.06,3.26,2.03,9.22,1.7,4.15,81.22,44.2,0.95,6.36,86.05,Endurance,0,lunch,vegetable,veg,per_100g
Stuffed bittergourd (wet) (Bharwa karele),162.36,4.68,1.36,15.24,1.95,2.86,360.09,17.25,0.91,46.93,63.07,Endurance,0,lunch,fat,veg,per_100g
Jackfruit/Kathal (dry),488.97,4.56,0.93,51.78,3.55,1.33,33.68,12.79,0.33,21.72,55.34,Endurance,0,dinner,fruit,veg,per_100g
Yam fried (Zimikand/Suran fried),491.76,5.47,0.79,51.79,0.8,1.44,37.07,8.11,0.43,30.3,35.57,Endurance,0,dinner,fat,veg,per_100g
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",95.67,8.23,2.75,5.54,1.47,3.26,86.29,21.05,0.98,53.51,60.04,Endurance,0,lunch,cereal,veg,per_100g
Vegetable jalfrezi,68.48,5.43,1.4,4.38,1.79,2.97,79.46,27.11,0.68,26.08,28.48,Endurance,0,lunch,vegetable,veg,per_100g
Vegetables stir fry ,30.78,3.19,1.04,1.47,0.86,1.37,55.0,13.3,0.34,38.17,61.93,Endurance,0,lunch,vegetable,veg,per_100g
Broccoli delight,40.7,2.34,2.49,2.48,1.08,2.83,59.26,26.99,0.71,79.0,97.64,Endurance,0,lunch,protein,veg,per_100g
Dhansak (vegetarian),82.8,7.28,3.32,4.18,0.91,4.17,34.18,26.4,1.26,13.25,45.12,Endurance,0,snack,cereal,veg,per_100g
Cauliflower basket,90.95,3.97,5.21,5.88,1.47,2.4,194.22,100.19,0.92,71.55,88.46,Endurance,0,snack,fat,veg,per_100g
Stuffed bottle gourd (Stuffed ghiya/lauki),93.19,4.36,5.84,5.8,1.52,1.18,106.99,71.83,0.66,9.01,92.91,Endurance,0,snack,protein,veg,per_100g
Ducheese potato,140.54,10.94,3.6,9.01,0.29,1.29,103.85,18.1,0.76,7.23,8.71,Endurance,0,snack,dairy,veg,per_100g
Roast potatoes ,87.32,14.52,1.53,2.35,0.33,1.71,90.67,10.38,0.57,17.36,11.66,Endurance,0,lunch,cereal,veg,per_100g
Stuffed baked potatoes ,100.2,11.03,3.82,4.39,0.4,1.31,92.09,25.72,0.81,18.77,23.25,Endurance,0,snack,cereal,veg,per_100g
Potato nests,111.62,11.05,5.71,4.77,1.41,2.49,182.12,55.25,0.87,37.47,49.55,Endurance,0,snack,cereal,veg,per_100g
Parsley potato,119.51,13.81,1.49,6.28,0.34,1.59,4.62,11.43,0.55,23.82,16.5,Endurance,0,lunch,cereal,veg,per_100g
Creamed spinach and mushroom,419.62,3.17,2.28,44.14,1.17,1.02,90.21,65.49,0.9,48.37,234.02,Endurance,0,dinner,vegetable,veg,per_100g
Fricassee of Mushroom,106.66,8.13,3.65,6.63,2.51,1.23,118.98,84.97,0.36,39.68,37.46,Endurance,0,snack,cereal,veg,per_100g
Cauliflower au gratin,145.9,9.13,4.45,10.2,3.01,1.44,164.96,119.69,0.57,50.15,69.55,Endurance,0,snack,fat,veg,per_100g
Vegetable and cheese pie,126.88,8.76,4.03,8.28,2.69,1.91,117.99,99.48,0.58,55.0,104.25,Endurance,0,snack,vegetable,veg,per_100g
Spinach souffle ,150.18,6.27,7.36,10.52,0.89,1.44,244.07,133.69,2.15,30.28,172.47,Endurance,0,snack,vegetable,veg,per_100g
Beetroot and egg salad (Chukandar aur ande ka salad),84.92,3.4,3.36,6.45,1.97,0.55,110.12,18.13,0.55,6.0,41.14,Endurance,0,snack,vegetable,egg,per_100g
Sour cream potato salad,121.9,9.05,2.89,8.13,0.84,1.21,102.66,23.25,0.9,37.28,52.99,Endurance,0,lunch,vegetable,veg,per_100g
Tossed green salad,49.88,3.82,1.33,3.24,1.9,1.33,65.09,33.71,1.27,58.24,75.97,Endurance,0,lunch,vegetable,veg,per_100g
Spring basket salad,160.46,11.61,3.36,11.3,1.46,3.09,26.02,45.65,0.85,70.79,109.53,Endurance,0,snack,vegetable,veg,per_100g
Cucumber and yogurt salad (Kheere aur dahi ka salad),36.13,4.72,2.09,0.93,2.28,1.66,141.73,68.49,0.52,6.74,21.36,Endurance,0,lunch,vegetable,veg,per_100g
Chicken and tomato towers,100.55,2.36,6.9,6.99,1.21,1.14,76.02,17.54,0.77,56.69,49.49,Endurance,0,snack,fat,non_veg,per_100g
Jellied sunshine fruit salad,48.86,4.21,5.85,0.85,2.86,1.8,74.2,37.14,0.87,28.75,37.7,Endurance,0,snack,fruit,veg,per_100g
Tomato aspic,50.37,5.02,6.87,0.26,3.21,1.58,98.17,44.28,1.18,35.87,39.01,Endurance,0,snack,protein,veg,per_100g
Frozen frosty fruit salad (Phalon ka salaad),103.51,15.61,1.68,4.17,14.38,0.26,13.23,28.61,0.41,33.45,20.91,Endurance,0,lunch,fruit,veg,per_100g
French dressing,733.77,3.68,0.32,79.65,3.01,0.22,261.13,6.98,0.48,6.42,1.95,Endurance,0,dinner,fat,veg,per_100g
Mayonnaise without eggs,329.05,3.98,2.13,33.84,3.68,0.04,193.58,75.54,0.27,12.05,18.85,Endurance,0,dinner,fat,egg,per_100g
Curd dressing ,78.8,8.03,5.59,2.9,7.57,0.22,204.62,194.59,0.18,5.34,39.4,Endurance,0,snack,dairy,veg,per_100g
Carrot raita (Gajar ka raita),64.78,7.19,4.14,2.19,5.99,1.69,274.46,146.72,0.55,7.76,32.0,Endurance,0,snack,vegetable,veg,per_100g
Pumpkin raita (Kaddu ka raita),55.6,6.02,3.74,1.88,5.48,1.04,129.14,130.11,0.33,7.11,31.7,Endurance,0,snack,cereal,veg,per_100g
Mint and peanut raita (Pudinay aur moongfali ka raita),112.05,7.31,7.05,6.19,6.17,1.79,223.01,191.01,1.68,6.06,44.25,Endurance,0,snack,cereal,veg,per_100g
Spinach raita (Palak ka raita),52.75,5.06,3.95,1.86,3.97,1.39,126.57,142.96,1.61,32.9,160.65,Endurance,0,snack,vegetable,veg,per_100g
Bathua raita,54.4,5.31,4.13,1.76,4.11,2.19,110.92,206.31,1.46,43.65,61.2,Endurance,0,snack,cereal,veg,per_100g
Pineapple raita (Ananas ka raita),67.74,8.62,3.9,2.02,8.12,1.39,135.48,134.53,0.27,19.89,27.72,Endurance,0,snack,fruit,veg,per_100g
Banana raita (Kele ka raita),89.03,13.51,4.13,2.07,10.11,1.0,135.43,133.23,0.31,5.73,27.58,Endurance,0,snack,fruit,veg,per_100g
Mango raita (Aam ka raita),67.37,8.23,3.9,2.14,7.87,0.89,135.46,136.06,0.34,18.19,59.64,Endurance,0,snack,fruit,veg,per_100g
Guava raita (Amarood ka raita),64.36,7.27,4.19,2.07,6.71,3.0,135.94,136.93,0.28,108.7,33.5,Endurance,0,snack,cereal,veg,per_100g
